time,nodeID,positionX,positionY,positionZ,quality
2026-01-13T23:16:00.530134,49a2,11.275874,15.775284,0.63127333,93
2026-01-13T23:16:00.530937,d238,NaN,NaN,NaN,0
2026-01-13T23:16:00.531497,87b0,19.287735,23.325981,-2.021409,53
2026-01-13T23:16:00.532008,5720,15.763344,12.662988,-1.4005766,96
2026-01-13T23:16:00.532495,d284,NaN,NaN,NaN,0
2026-01-13T23:16:00.532935,4c0f,11.264001,14.305635,0.93451881,96
2026-01-13T23:16:00.533415,4110,11.15785,10.709119,-1.655975,94
2026-01-13T23:16:00.533881,4103,NaN,NaN,NaN,0
2026-01-13T23:16:00.534308,d2ad,NaN,NaN,NaN,0
2026-01-13T23:16:00.534727,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:00.535258,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:00.535736,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.536110,4c0f,11.264001,14.305635,0.93451881,96
2026-01-13T23:16:00.536529,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:00.536878,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.537213,d238,NaN,NaN,NaN,0
2026-01-13T23:16:00.537568,5720,15.758963,12.6665,-1.3957423,97
2026-01-13T23:16:00.538031,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:00.538411,87b0,NaN,NaN,NaN,0
2026-01-13T23:16:00.568620,4110,11.099063,10.709422,-1.629133,96
2026-01-13T23:16:00.569574,d43a,20.843386,26.216131,0.45905846,94
2026-01-13T23:16:00.570316,4c0f,11.268118,14.314457,1.0790697,95
2026-01-13T23:16:00.570866,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.571287,4103,NaN,NaN,NaN,0
2026-01-13T23:16:00.571746,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:00.572154,d2ad,6.7830844,14.930223,1.0368562,94
2026-01-13T23:16:00.621795,87b0,NaN,NaN,NaN,0
2026-01-13T23:16:00.623547,5720,15.796866,12.665489,-1.4734936,96
2026-01-13T23:16:00.629048,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:00.629914,4110,11.07266,10.701558,-1.6474802,92
2026-01-13T23:16:00.630579,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:00.631017,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.631477,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:00.643707,d2ad,6.7573833,14.890628,1.1927283,92
2026-01-13T23:16:00.668596,4103,NaN,NaN,NaN,0
2026-01-13T23:16:00.684746,d238,17.532387,16.859394,-0.11958152,93
2026-01-13T23:16:00.721498,49a2,NaN,NaN,NaN,0
2026-01-13T23:16:00.738753,d238,NaN,NaN,NaN,0
2026-01-13T23:16:00.744834,d284,NaN,NaN,NaN,0
2026-01-13T23:16:00.745606,5720,15.756111,12.687571,-1.4388778,97
2026-01-13T23:16:00.746350,d2ad,6.7015481,14.850415,1.2033696,92
2026-01-13T23:16:00.747279,87b0,NaN,NaN,NaN,0
2026-01-13T23:16:00.747981,4110,11.051612,10.707144,-1.4699398,97
2026-01-13T23:16:00.748518,d43a,20.83136,26.24262,0.55329883,96
2026-01-13T23:16:00.749039,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.768615,4c0f,11.266502,14.335588,0.96855718,97
2026-01-13T23:16:00.821669,87b0,19.263853,23.393938,-1.003976,67
2026-01-13T23:16:00.823314,49a2,11.176617,15.776134,0.13189341,97
2026-01-13T23:16:00.824728,d238,17.613985,16.590366,-0.70506769,93
2026-01-13T23:16:00.828600,d284,NaN,NaN,NaN,0
2026-01-13T23:16:00.829524,d2ad,6.65503,14.822619,1.1488639,87
2026-01-13T23:16:00.868596,4c0f,11.255319,14.350261,1.0191694,96
2026-01-13T23:16:00.869597,4110,11.033392,10.702814,-1.4062605,95
2026-01-13T23:16:00.870293,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:00.875271,5720,15.822465,12.674623,-1.4498944,97
2026-01-13T23:16:00.915111,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:00.921871,87b0,19.267288,23.453316,-1.2690349,66
2026-01-13T23:16:00.923022,49a2,11.102024,15.777365,0.43575695,93
2026-01-13T23:16:00.923762,5720,15.888577,12.686184,-0.70404595,96
2026-01-13T23:16:00.928439,d238,17.575377,16.372293,-0.16896592,93
2026-01-13T23:16:00.945678,d43a,20.78755,26.191442,0.71777827,93
2026-01-13T23:16:00.946639,cf06,14.08145,18.936615,-0.39737689,77
2026-01-13T23:16:00.968723,4110,11.010625,10.696781,-1.3711984,95
2026-01-13T23:16:00.975446,d284,NaN,NaN,NaN,0
2026-01-13T23:16:00.976387,4c0f,11.256705,14.359414,1.106698,95
2026-01-13T23:16:00.977102,d2ad,6.7076964,14.784728,1.1776097,97
2026-01-13T23:16:01.024151,49a2,11.063461,15.780913,0.69361925,93
2026-01-13T23:16:01.028556,d238,17.555515,16.169891,0.23393081,95
2026-01-13T23:16:01.069090,87b0,19.278149,23.497921,-1.4403129,73
2026-01-13T23:16:01.070778,5720,15.921815,12.665305,-0.9635452,96
2026-01-13T23:16:01.072260,4110,11.015249,10.670135,-1.3462907,95
2026-01-13T23:16:01.073467,d2ad,NaN,NaN,NaN,0
2026-01-13T23:16:01.074564,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:01.101442,d284,NaN,NaN,NaN,0
2026-01-13T23:16:01.104946,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:01.106398,cf06,14.011444,20.069786,-0.764166,65
2026-01-13T23:16:01.122791,87b0,NaN,NaN,NaN,0
2026-01-13T23:16:01.124592,5720,15.916064,12.665504,-1.0327833,98
2026-01-13T23:16:01.126231,49a2,11.013077,15.770691,0.78451425,94
2026-01-13T23:16:01.127813,4110,10.979828,10.658092,-1.333403,94
2026-01-13T23:16:01.129033,d43a,20.761934,26.207767,0.80774534,94
2026-01-13T23:16:01.131869,d238,NaN,NaN,NaN,0
2026-01-13T23:16:01.133334,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:01.134660,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:01.174499,d284,NaN,NaN,NaN,0
2026-01-13T23:16:01.175943,d2ad,NaN,NaN,NaN,0
2026-01-13T23:16:01.222993,d238,NaN,NaN,NaN,0
2026-01-13T23:16:01.224734,87b0,19.308912,23.597418,-1.622063,58
2026-01-13T23:16:01.226344,4110,10.976321,10.639716,-1.3108263,95
2026-01-13T23:16:01.227814,d43a,NaN,NaN,NaN,0
2026-01-13T23:16:01.229136,49a2,11.015653,15.758522,0.91825819,93
2026-01-13T23:16:01.230494,5720,15.932462,12.671127,-1.0958775,97
2026-01-13T23:16:01.238971,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:01.240388,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:01.277044,d2ad,6.6301742,14.735454,0.93158466,88
2026-01-13T23:16:01.323125,49a2,10.967433,15.755136,1.0309826,93
2026-01-13T23:16:01.324976,d238,17.372194,15.895925,0.30316475,99
2026-01-13T23:16:01.326656,4110,NaN,NaN,NaN,0
2026-01-13T23:16:01.333474,87b0,19.357574,23.678349,-1.7147547,61
2026-01-13T23:16:01.343930,d2ad,6.5587611,14.676794,0.945724,88
2026-01-13T23:16:01.345553,5720,15.908741,12.65801,-1.2479315,96
2026-01-13T23:16:01.346950,1bb3,NaN,NaN,NaN,0
2026-01-13T23:16:01.348149,cf06,NaN,NaN,NaN,0
2026-01-13T23:16:01.349327,d43a,20.764271,26.21986,0.86277288,95
2026-01-13T23:16:01.423579,d238,17.216656,15.663272,-0.15216906,97
